Submission Date,Open,High,Low,Close,Volume,Amplitude,Daily Change,Daily Change %,Ticker,Total Cases,Daily New Cases,Total Deaths,Daily New Deaths
2020-04-21,271.4740746763567,272.7591914361182,266.8535102056844,267.8541564941406,126385700,5.9056812304337996,-3.619918182216054,-1.33,SPY,841866,25090,48073,2617
2020-04-22,273.06334741739624,275.66301038898814,271.65069472000994,273.7991027832031,92951600,4.012315668978204,0.735755365806881,0.27,SPY,873079,31213,50322,2249
2020-04-23,275.16264240058206,278.5471285079392,273.45569980971896,273.7794189453125,104709700,5.091428698220227,-1.3832234552695581,-0.5,SPY,905137,32058,52283,1961
2020-04-24,275.3981347247383,278.31172701734033,273.2104781080029,277.5955810546875,85063200,5.101248909337414,2.197446329949173,0.8,SPY,938891,33754,54386,2103
2020-04-27,279.7047166159488,282.79488273985044,279.21421310618797,281.5980529785156,77896600,3.580669633662467,1.8933363625667994,0.68,SPY,1024179,24135,59389,1578
2020-04-28,285.49263639704327,285.86542383410415,279.97938203955994,280.3031311035156,105270000,5.886041794544212,-5.189505293527645,-1.82,SPY,1047590,23411,61527,2138
2020-04-29,285.9929373390306,289.2793164069132,284.8942144127073,287.6410217285156,118745600,4.385101994205911,1.6480843894850068,0.58,SPY,1076422,28832,63916,2389
2020-04-30,286.16957122640184,287.7490082166862,283.1088338808608,284.96295166015625,122901700,4.640174335825407,-1.2066195662455925,-0.42,SPY,1108355,31933,66148,2232
2020-05-01,279.8911334633807,285.1395274389247,276.17310816966057,277.41900634765625,125180000,8.966419269264122,-2.4721271157244473,-0.88,SPY,1138334,29979,68036,1888
2020-05-04,275.407876681854,278.5078621814683,273.8284698905645,278.18414306640625,80873200,4.679392290903763,2.7762663845522297,1.01,SPY,1215689,21140,72399,1341
2020-05-05,281.1958902201207,283.756304387327,278.3215166570548,280.7544250488281,79569900,5.434787730272205,-0.44146517129257745,-0.16,SPY,1239190,23501,74842,2443
2020-05-06,282.56928247117037,282.9812886718801,278.39018280764185,278.85125732421875,73632600,4.591105864238273,-3.718025146951618,-1.32,SPY,1263610,24420,77136,2294
2020-05-07,282.28480317286073,284.27624645993274,281.67658353906955,282.21612548828125,75250400,2.5996629208631816,-0.06867768457948387,-0.02,SPY,1295293,31683,79237,2101
2020-05-08,285.5613461298709,287.3860348587758,284.3546966488538,286.8857116699219,76452400,3.031338209922012,1.3243655400509624,0.46,SPY,1324233,28940,80876,1639
2020-05-11,284.8256011249927,288.41609074519226,284.37434623638785,286.944580078125,79514200,4.041744508804413,2.1189789531322845,0.74,SPY,1390738,19340,84623,1154
2020-05-12,288.2100768611455,288.6515120819882,281.07813626772264,281.2253112792969,95870800,7.573375814265546,-6.984765581848649,-2.42,SPY,1415367,24629,86165,1542
2020-05-13,280.6268699054825,281.7354126445861,273.66171397265657,276.2515869140625,144721100,8.073698671929549,-4.375282991420022,-1.56,SPY,1438947,23580,87813,1648
2020-05-14,273.651934870671,279.69491209234354,267.8051111627781,279.5575866699219,121977900,11.889800929565467,5.9056517992508475,2.16,SPY,1468752,29805,89593,1780
2020-05-15,277.00697103496844,280.8917507823361,275.9965349158463,280.84271240234375,111146300,4.895215866489764,3.835741367375306,1.38,SPY,1496452,27700,91104,1511
2020-05-18,287.4840885890301,291.11382645429194,287.1407600903347,289.3970642089844,119703800,3.97306636395723,1.9129756199542953,0.67,SPY,1566889,25156,94303,1041
2020-05-19,288.75942308585996,290.58408177765034,286.4050122192446,286.42462158203125,95189300,4.179069558405729,-2.3348015038287144,-0.81,SPY,1588286,21397,95511,1208
2020-05-20,290.2015018588968,292.21255426097423,289.9562501055723,291.2904052734375,85861700,2.256304155401949,1.0889034145407095,0.38,SPY,1613695,25409,96817,1306
2020-05-21,291.15308493074764,292.0163759075603,288.1119571489608,289.27935791015625,78293900,3.9044187585994905,-1.8737270205913887,-0.64,SPY,1640915,27220,97895,1078
2020-05-22,288.9752639783807,290.01512909259765,287.6508984271165,289.8287353515625,63958200,2.364230665481159,0.853471373181776,0.3,SPY,1667275,26360,99699,1804
2020-05-26,296.1954426476647,296.4505140532561,289.84832602465684,293.3995666503906,88951400,6.602188028599244,-2.795875997274095,-0.94,SPY,1743814,15949,103097,903
2020-05-27,296.3818521180462,297.80432434914434,291.23156498456405,297.76507568359375,104817400,6.572759364580293,1.3832235655475529,0.47,SPY,1765740,21926,104412,1315
2020-05-28,298.8637828517603,301.01219062200846,296.49955233945195,297.2156982421875,90405200,4.512638282556509,-1.648084609572777,-0.55,SPY,1791652,25912,105573,1161
2020-05-29,296.7154112491019,299.16792909965847,293.78220947998415,298.54010009765625,119090800,5.385719619674319,1.8246888485543309,0.61,SPY,1816498,24846,106578,1005
2020-06-01,297.85336760469585,300.3941723729286,297.3040060298326,299.7467041015625,55758300,3.0901663430960298,1.8933364968666524,0.64,SPY,1877897,16987,108899,730
2020-06-02,300.7276981117738,302.27770601041016,299.30525585720767,302.2286376953125,74267200,2.9724501532024874,1.5009395835386954,0.5,SPY,1899218,21321,109826,927
2020-06-03,304.34760693418633,307.2710186182873,304.0533168046949,306.2507629394531,92567600,3.2177018135924413,1.9031560052667942,0.63,SPY,1922192,22974,110850,1024
2020-06-04,305.2011288206996,307.0552467576052,303.2096854465953,305.4463806152344,75794400,3.845561311009874,0.24525179453479495,0.08,SPY,1945382,23190,111708,858
2020-06-05,311.20483950164913,315.1680859475974,311.1361618313691,313.2747497558594,150524700,4.031924116228254,2.0699102542102423,0.67,SPY,1970928,25546,112564,856
2020-06-08,314.13808111126843,317.2674960193427,313.5592905399703,317.0614929199219,73641200,3.7082054793723955,2.923411808653441,0.93,SPY,2030397,17947,114656,842
2020-06-09,314.2165518040222,317.1399636433862,313.29440276536235,314.697265625,77479200,3.845560878023832,0.4807138209778259,0.15,SPY,2049977,19580,115524,868
2020-06-10,315.3153346806508,316.26691282379403,312.17609979206446,312.9412841796875,95000800,4.090813031729567,-2.3740505009632784,-0.75,SPY,2074594,24617,116358,834
2020-06-11,305.54444509473706,306.22134234914375,294.31193242014064,294.9005126953125,209243600,11.909409929003118,-10.643932399424557,-3.48,SPY,2099158,24564,117188,830
2020-06-12,302.3856168116949,303.2096591773836,292.9287240014907,298.4321594238281,194678900,10.280935175892921,-3.953457387866763,-1.31,SPY,2128659,29501,117917,729
2020-06-15,292.3596786596257,302.4248194847437,291.1039909688823,301.2181701660156,135782700,11.320828515861422,8.858491506389953,3.03,SPY,2196531,21432,119658,601
2020-06-16,309.4881176414586,309.6450823633982,301.8264549084168,307.0159606933594,137627500,7.818627454981424,-2.4721569480992116,-0.8,SPY,2223667,27136,120374,716
2020-06-17,308.104922964097,308.41885243738983,304.9558684554398,305.7406921386719,83398900,3.4629839819500035,-2.3642308254251247,-0.77,SPY,2253265,29598,121052,678
2020-06-18,304.1219962697921,306.3684807933604,303.63149275911553,305.8583679199219,80828700,2.7369880342448596,1.7363716501297972,0.57,SPY,2285529,32264,121688,636
2020-06-19,309.55925309344263,309.7661627131124,302.0313633295862,304.11041259765625,135549600,7.734799383526195,-5.448840495786385,-1.76,SPY,2321560,36031,122382,694
2020-06-22,303.46996362396993,306.485053001028,302.24817134743034,306.0613708496094,74649400,4.236881653597663,2.5914072256394434,0.85,SPY,2417286,29512,123941,583
2020-06-23,308.8892058553746,309.88439270066056,307.0367919559004,307.4703369140625,68471200,2.8476007447601432,-1.4188689413120983,-0.46,SPY,2456952,39666,124719,778
2020-06-24,305.29277965721644,305.95295995730146,297.6663816417867,299.6271667480469,132813500,8.28657831551476,-5.6656129091695675,-1.86,SPY,2498086,41134,125421,702
2020-06-25,299.0162933096727,303.1251078653027,296.8584312154481,302.83935546875,89468000,6.266676649854617,3.823062159077324,1.28,SPY,2550986,52900,127917,672
2020-06-26,301.66679912725874,301.89343447211024,295.02572499663245,295.6464538574219,127961000,6.867709475477795,-6.0203452698368665,-2.0,SPY,2603439,52453,128604,687
2020-06-29,296.9865036331724,300.1395223189962,294.54288934415524,299.9917297363281,79773300,5.596632974840986,3.005226103155735,1.01,SPY,2733048,39218,130210,537
2020-06-30,299.5286720629897,305.6475565483558,299.3611838002569,303.83453369140625,113394800,6.28637274809887,4.305861628416551,1.44,SPY,2780958,47910,130914,704
2020-07-01,305.02678973396564,307.3127488692916,304.53412768254395,305.96282958984375,72396500,2.778621186747671,0.9360398558781071,0.31,SPY,2843193,62235,131702,788
2020-07-02,309.62818575313406,311.0667803579012,306.9382706374605,307.647705078125,69344200,4.128509720440718,-1.980480675009062,-0.64,SPY,2902657,59464,132414,712
2020-07-06,311.72698998261825,313.0177621864543,310.9288798434435,312.3970031738281,61713800,2.088882343010823,0.6700131912098755,0.21,SPY,3106957,46413,135057,716
2020-07-07,310.7514816575032,312.8600593386887,308.7709708351823,309.1749572753906,82910000,4.089088503506389,-1.5765243821125523,-0.51,SPY,3167959,61002,136028,971
2020-07-08,309.9927983620726,311.6579984842647,308.1108558064095,311.5397644042969,54638600,3.547142677855163,1.5469660422242555,0.5,SPY,3236094,68135,137120,1092
2020-07-09,312.1900630181532,312.44625688904705,306.12046336629885,309.76617431640625,83354200,6.325793522748199,-2.4238887017469324,-0.78,SPY,3307038,70944,138003,883
2020-07-10,309.6972153049008,313.2148295568068,308.1699749785745,312.9290771484375,57550400,5.044854578232332,3.2318618435367057,1.04,SPY,3381661,74623,138881,878
2020-07-13,315.43176301876105,317.97388559596953,309.51981927951243,310.2193908691406,102997500,8.454066316457101,-5.212372149620421,-1.65,SPY,3567807,55284,141495,869
2020-07-14,308.7020165029715,315.0672315917454,307.4211072506421,314.23956298828125,93657000,7.646124341103302,5.537546485309747,1.79,SPY,3633770,65963,142518,1023
2020-07-15,317.67830489673975,318.29906380922773,314.58437319630787,317.12652587890625,87196500,3.714690612919867,-0.5517790178334963,-0.17,SPY,3708185,74415,143689,1171
2020-07-16,315.096768291685,316.56489141965255,314.4070294683744,316.08209228515625,54622500,2.1578619512781643,0.9853239934712406,0.31,SPY,3782831,74646,144782,1093
2020-07-17,317.15609905442665,317.8359750309854,315.0474912269076,316.9984436035156,62774900,2.7884838040778277,-0.1576554509110224,-0.05,SPY,3860834,78003,145879,1097
2020-07-20,316.7127017997887,320.3584128083537,315.91459172580994,319.560302734375,56308800,4.443821082543764,2.8476009345862963,0.9,SPY,4047456,59818,148889,1028
2020-07-21,321.65907300463266,322.1320093405656,319.18589982572803,320.2402038574219,57292200,2.9461095148375875,-1.4188691472107848,-0.44,SPY,4109979,62523,150221,1332
2020-07-22,319.8558721430427,322.39802490266555,319.7376380741676,322.06298828125,57792900,2.6603868284979626,2.2071161382073115,0.69,SPY,4180809,70830,151425,1204
2020-07-23,321.67874238384,322.42759828083376,316.76198501838684,318.2202453613281,75738000,5.665613262446925,-3.4584970225118923,-1.08,SPY,4253285,72476,152686,1261
2020-07-24,316.23978678955643,317.2645022191382,314.5647237658965,316.1708068847656,73766600,2.69977845324172,-0.06897990479080818,-0.02,SPY,4325652,72367,154023,1337
2020-07-27,316.9097787996052,318.66365440463795,316.0623844809289,318.4764404296875,48293000,2.601269923709026,1.566661630082308,0.49,SPY,4489496,51217,157228,1115
2020-07-28,317.69803084239607,318.89029461041184,316.1412320514382,316.45654296875,57495000,2.7490625589736624,-1.241487873646065,-0.39,SPY,4547963,58467,158575,1347
2020-07-29,317.39256919341244,320.9496045495029,317.35314781301093,320.3485412597656,48454200,3.596456736491973,2.9559720663531834,0.93,SPY,4614051,66088,159814,1239
2020-07-30,317.17583162040575,319.6490048104725,314.94901953269056,319.2055969238281,61861700,4.699985277781934,2.02976530342238,0.64,SPY,4679760,65709,161177,1363
2020-07-31,321.1170702688856,321.83636757966815,316.6141325869457,321.72796630859375,84986800,5.222234992722463,0.610896039708166,0.19,SPY,4745930,66170,162519,1342
2020-08-03,323.50161814643826,324.78252745812915,322.9202805314582,323.9647216796875,53077900,1.8622469266709345,0.4631035332492388,0.14,SPY,4893490,45123,165583,1001
2020-08-04,323.04833944248503,325.216064453125,323.04833944248503,325.216064453125,41917900,2.1677250106399697,2.1677250106399697,0.67,SPY,4946509,53019,166800,1217
2020-08-05,326.60533968777963,327.5118509768131,326.319587315083,327.2359313964844,42697700,1.1922636617300668,0.6305917087047419,0.19,SPY,5005677,59168,168046,1246
2020-08-06,326.61522092611705,329.5514672966303,326.2703515010042,329.4233703613281,43679400,3.2811157956260786,2.808149435211078,0.86,SPY,5063083,57406,169282,1236
2020-08-07,328.38883552082956,329.9653601940298,327.42320701693893,329.659912109375,57308300,2.5421531770908814,1.2710765885454407,0.39,SPY,5121985,58902,170585,1303
2020-08-10,330.1426777428928,330.8422494072574,328.07349119916097,330.64520263671875,44282100,2.768758208096415,0.5025248938259779,0.15,SPY,5254020,40677,173365,927
2020-08-11,331.90641297246236,332.58628897400536,327.1374481685387,327.91583251953125,69601100,5.448840805466659,-3.9905804529311126,-1.2,SPY,5306370,52350,174591,1226
2020-08-12,330.5170839397103,333.31540048266055,330.4875254225901,332.48773193359375,53774400,2.8278750600704257,1.9706479938834605,0.6,SPY,5358060,51690,175845,1254
2020-08-13,331.66991573752233,333.2858616212651,330.9013641773701,331.8866882324219,41816100,2.384497443894986,0.2167724948995442,0.07,SPY,5410146,52086,177032,1187
2020-08-14,331.47286329047023,332.46805019133103,330.69444888079585,331.89654541015625,47260400,1.7736013105351844,0.42368211968602054,0.13,SPY,5463266,53120,178042,1010
2020-08-17,332.9804252191162,333.37454884098463,331.9064255699003,332.95086669921875,35481000,1.4681232710843233,-0.02955851989747771,-0.01,SPY,5582351,37946,180709,834
2020-08-18,333.3745507452565,334.12340667987735,331.6699292355502,333.670166015625,38733900,2.4534774443271203,0.29561527036850066,0.09,SPY,5624067,41716,181742,1033
2020-08-19,334.0740895777421,334.6258686111842,331.67975947873055,332.28082275390625,68054200,2.946109132453671,-1.793266823835836,-0.54,SPY,5671585,47518,182929,1187
2020-08-20,330.4382701336667,333.8277873857093,330.30034039825466,333.3154296875,42207800,3.5274469874546526,2.8771595538332804,0.87,SPY,5718009,46424,183902,973
2020-08-21,332.9607300755044,334.7343014114976,332.5961349032668,334.4978332519531,55106600,2.1381665082308245,1.5371031764487384,0.46,SPY,5763750,45741,184894,992
2020-08-24,337.0990822832813,337.96617231787366,334.4682837284718,337.8873596191406,48588700,3.497888589401839,0.788277335859334,0.23,SPY,5871907,34983,187324,779
2020-08-25,338.4883645760912,339.15837770323236,337.2468466695566,339.0697021484375,38463400,1.9115310336757716,0.5813375723462855,0.17,SPY,5912780,40873,188299,975
2020-08-26,339.70032753122456,342.75480801635297,339.11898995277426,342.4690856933594,50790200,3.6358180635787107,2.768758162134816,0.82,SPY,5960351,47571,189289,990
2020-08-27,343.3953072140425,344.7648920588511,341.4443546965106,343.2179260253906,58034100,3.3205373623405308,-0.17738118865185015,-0.05,SPY,6008266,47915,190223,934
2020-08-28,344.31165218027223,345.5728658118236,343.0405756855221,345.4349060058594,48588900,2.5322901263015183,1.1232538255871418,0.33,SPY,6053001,44735,191173,950
2020-08-31,345.20827812020474,346.1443179019907,343.93720170863116,344.18353271484375,66099200,2.207116193359525,-1.0247454053609886,-0.3,SPY,6162859,36967,193316,688
2020-09-01,345.07032356256684,347.5336336620934,344.11455804116235,347.4252624511719,54908700,3.4190756209310393,2.3549388886050338,0.68,SPY,6202211,39352,194276,960
2020-09-02,349.4649086595517,353.48501772101184,348.243086339054,352.450439453125,69540000,5.241931381957841,2.9855307935732753,0.85,SPY,6247785,43869,195066,790
2020-09-03,350.647283299371,351.1498082135989,337.5621804301448,340.32110595703125,148011100,13.587627783454082,-10.326177342339747,-2.94,SPY,6293440,45655,195948,882
2020-09-04,341.0502009861614,342.7252337446103,329.95544312206727,337.5424499511719,139156300,12.769790622543042,-3.5077510349895533,-1.03,SPY,6343150,49710,196787,839
2020-09-08,331.7684276179883,337.6114216500247,327.9946500196835,328.3197937011719,114465300,9.61677163034119,-3.4486339168164477,-1.04,SPY,6465327,28224,199295,619
2020-09-09,332.59613726440455,337.43408219412936,331.66993020667365,334.80328369140625,91462300,5.764151987455705,2.207146427001703,0.66,SPY,6504424,39097,200135,840
2020-09-10,336.8034808223932,337.5030524925724,327.9651227117506,328.9898681640625,90569500,9.537929780821798,-7.813612658330726,-2.32,SPY,6545488,41064,200924,789
2020-09-11,330.891528577298,332.0246452170547,326.1422594555071,329.1573486328125,84680200,5.882385761547596,-1.7341799444855042,-0.52,SPY,6590173,44685,201721,797
2020-09-14,332.5370322391455,335.384633418818,329.31503314724387,333.4927978515625,65605700,6.0696002715741315,0.9557656124169966,0.29,SPY,6693404,33594,203571,538
2020-09-15,336.11374368694413,337.00052934059323,333.50264090187017,335.1777038574219,52920900,3.4978884387230664,-0.9360398295222581,-0.28,SPY,6731879,38475,204364,793
2020-09-16,336.49799701680286,338.02523713515967,333.55185791311624,333.84747314453125,82096000,4.473379222043434,-2.650523872271606,-0.79,SPY,6777938,46059,205349,985
2020-09-17,328.6646867406648,332.7439427290615,328.10304481709653,330.9112243652344,91523300,4.640897911964942,2.246537624569555,0.68,SPY,6824116,46178,206047,698
2020-09-18,331.77087920380495,331.88958656018474,324.45030038970583,327.1015319824219,105877900,7.439286170478908,-4.669347221383077,-1.41,SPY,6871803,47687,206820,773
2020-09-21,322.20466928971535,323.61931558974044,318.2772732735822,323.4610290527344,99450800,5.342042316158256,1.2563597630190202,0.39,SPY,6984700,40435,208544,657
2020-09-22,325.04389520738874,327.34887708141235,322.36295635583804,326.75531005859375,63612100,4.985920725574317,1.7114148512050065,0.53,SPY,7036575,51875,209258,714
2020-09-23,327.3488872174343,327.64568583307016,318.64333791344586,319.17755126953125,93112200,9.002347919624299,-8.17133594790306,-2.5,SPY,7080317,43742,210070,812
2020-09-24,317.7727593155621,323.2928630552864,316.3679850689975,320.0282897949219,76681300,6.924877986288891,2.255530479359777,0.71,SPY,7126435,46118,210764,694
